,disease
68,7-Dehydrocholesterol Reductase Deficiency
69,7q31 microdeletion syndrome
70,8p11.2 deletion syndrome
71,9q22.3 Microdeletion
72,ABCD syndrome
73,ABDOMINAL OBESITY-METABOLIC SYNDROME 1
74,ABDOMINAL OBESITY-METABOLIC SYNDROME 3
75,ABLEPHARON-MACROSTOMIA SYNDROME
76,ACHROMATOPSIA 4
77,ACHROMATOPSIA 7
78,"ACNE INVERSA, FAMILIAL, 1"
79,"ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE"
80,"ACNE INVERSA, FAMILIAL, 3"
81,ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE
82,ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE
83,"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE"
84,ACROMELIC FRONTONASAL DYSOSTOSIS
85,"ACROMESOMELIC DYSPLASIA, DEMIRHAN TYPE"
86,"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE"
87,"ACTH Deficiency, Isolated"
88,"ACTH Syndrome, Ectopic"
89,ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2
90,ACTH-Secreting Pituitary Adenoma
91,ACTIVATED PI3K-DELTA SYNDROME
92,ACUTE ALCOHOL WITHDRAWAL
93,ADAMS-OLIVER SYNDROME 2
94,ADAMS-OLIVER SYNDROME 3
95,ADAMS-OLIVER SYNDROME 4
96,ADAMS-OLIVER SYNDROME 5
97,ADAMS-OLIVER SYNDROME 6
98,"ADENOCARCINOMA, COLONIC, SOMATIC"
99,ADH-Resistant Diabetes Insipidus
100,"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1"
101,"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2"
102,"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3"
103,"ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder"
104,"ADRENAL ADENOMA, SOMATIC"
105,"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"
106,"ADRENOCORTICAL CARCINOMA, HEREDITARY"
107,ADULT SYNDROME
108,"ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 1"
109,"ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2"
110,AGAMMAGLOBULINEMIA 1
111,"AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE"
112,"AGAMMAGLOBULINEMIA 2, AUTOSOMAL RECESSIVE"
113,AGAMMAGLOBULINEMIA 3
114,"AGAMMAGLOBULINEMIA 3, AUTOSOMAL RECESSIVE"
115,"AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE"
116,"AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT"
117,AGAMMAGLOBULINEMIA 6
118,"AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE"
119,"AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE"
120,"AGAMMAGLOBULINEMIA 8, AUTOSOMAL DOMINANT"
121,"AGAMMAGLOBULINEMIA, X-LINKED, TYPE 2 (disorder)"
122,"AHDC1-related intellectual disability, obstructive sleep apnea, mild dysmorphism syndrome"
123,AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency
124,AICARDI-GOUTIERES SYNDROME
125,AICARDI-GOUTIERES SYNDROME 1
126,AICARDI-GOUTIERES SYNDROME 3
127,AICARDI-GOUTIERES SYNDROME 4
128,AICARDI-GOUTIERES SYNDROME 5 (disorder)
129,AICARDI-GOUTIERES SYNDROME 6
130,AICARDI-GOUTIERES SYNDROME 7
131,AIDS Dementia Complex
132,AIDS with Kaposi's sarcoma
133,AIDS-Related Opportunistic Infections
134,AL KAISSI SYNDROME
135,AL-RAQAD SYNDROME
136,"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME"
137,ALAZAMI-YUAN SYNDROME
138,"ALBINISM, OCULAR, WITH LATE-ONSET SENSORINEURAL DEAFNESS (disorder)"
139,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS (disorder)"
140,"ALBINISM, OCULOCUTANEOUS, TYPE IB (disorder)"
141,"ALBINISM, OCULOCUTANEOUS, TYPE III"
142,"ALBINISM, OCULOCUTANEOUS, TYPE V"
143,"ALBINISM, OCULOCUTANEOUS, TYPE VI"
144,"ALBINISM, OCULOCUTANEOUS, TYPE VII"
145,"ALCOHOL SENSITIVITY, ACUTE"
146,ALK positive large B-cell lymphoma
147,ALKURAYA-KUCINSKAS SYNDROME
148,ALPHA-2-PLASMIN INHIBITOR DEFICIENCY
149,"ALPHA-FETOPROTEIN, HEREDITARY PERSISTENCE OF"
150,ALPHA-KETOGLUTARATE DEHYDROGENASE DEFICIENCY
151,"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, NONDELETION TYPE, X-LINKED"
152,"ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY"
153,"ALPORT SYNDROME 1, X-LINKED"
154,"ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE"
155,"ALPORT SYNDROME 3, AUTOSOMAL DOMINANT"
156,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1
157,ALTERNATING HEMIPLEGIA OF CHILDHOOD 2
158,ALZHEIMER DISEASE 18
159,ALZHEIMER DISEASE 2
160,ALZHEIMER DISEASE 4
161,"ALZHEIMER DISEASE 9, SUSCEPTIBILITY TO"
162,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL"
163,"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA4"
164,"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA5"
165,"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6"
166,"AMELOGENESIS IMPERFECTA, HYPOPLASTIC/HYPOMATURATION, X-LINKED 1"
167,"AMELOGENESIS IMPERFECTA, TYPE IA"
168,"AMELOGENESIS IMPERFECTA, TYPE IF"
169,"AMELOGENESIS IMPERFECTA, TYPE IH"
170,"AMELOGENESIS IMPERFECTA, TYPE IIIB"
171,"AMELOGENESIS IMPERFECTA, TYPE IJ"
172,AMR Syndrome
173,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"
174,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1"
175,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 2"
176,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 3"
177,AMYOTROPHIC LATERAL SCLEROSIS 1
178,AMYOTROPHIC LATERAL SCLEROSIS 10 (disorder)
179,AMYOTROPHIC LATERAL SCLEROSIS 11
180,AMYOTROPHIC LATERAL SCLEROSIS 12
181,AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA
182,"AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
183,"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE"
184,AMYOTROPHIC LATERAL SCLEROSIS 18
185,AMYOTROPHIC LATERAL SCLEROSIS 19
186,"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)"
187,AMYOTROPHIC LATERAL SCLEROSIS 20
188,AMYOTROPHIC LATERAL SCLEROSIS 21
189,AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA
190,AMYOTROPHIC LATERAL SCLEROSIS 23
191,AMYOTROPHIC LATERAL SCLEROSIS 5
192,AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder)
193,AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)
194,"AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO"
195,"AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 24"
196,"AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 25"
197,"AMYOTROPHY, HEREDITARY NEURALGIC"
198,ANAUXETIC DYSPLASIA 1
199,ANAUXETIC DYSPLASIA 2
200,"ANDIBULAR HYPOPLASIA, DEAFNESS, PROGEROID FEATURES, AND LIPODYSTROPHY SYNDROME"
201,"ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ib"
202,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1"
203,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2"
204,"ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY"
205,"ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REFRACTORY"
206,"ANEMIA, SIDEROBLASTIC, 3, PYRIDOXINE-REFRACTORY"
207,"ANEMIA, SIDEROBLASTIC, 4"
208,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA"
209,"ANEMIA, X-LINKED, WITH OR WITHOUT NEUTROPENIA AND/OR PLATELET ABNORMALITIES"
210,"ANEURYSM, INTRACRANIAL BERRY, 1 (disorder)"
211,"ANGIOEDEMA INDUCED BY ACE INHIBITORS, SUSCEPTIBILITY TO"
212,"ANGIOFIBROMA, SOMATIC"
213,ANHAPTOGLOBINEMIA
214,"ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS"
215,ANIRIDIA 3
216,ANONYCHIA
217,ANOPHTHALMIA AND PULMONARY HYPOPLASIA
218,ANTERIOR SEGMENT ANOMALIES WITH OR WITHOUT CATARACT
219,ANTERIOR SEGMENT DYSGENESIS 1
220,ANTERIOR SEGMENT DYSGENESIS 5
221,ANTERIOR SEGMENT DYSGENESIS 7
222,ANTERIOR SEGMENT DYSGENESIS 8
223,ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS
224,"AORTIC ANEURYSM, FAMILIAL ABDOMINAL 1"
225,"AORTIC ANEURYSM, FAMILIAL THORACIC 10"
226,"AORTIC ANEURYSM, FAMILIAL THORACIC 11, SUSCEPTIBILITY TO"
227,"AORTIC ANEURYSM, FAMILIAL THORACIC 7"
228,"AORTIC ANEURYSM, FAMILIAL THORACIC 8"
229,"AORTIC ANEURYSM, FAMILIAL THORACIC 9"
230,AORTIC VALVE DISEASE 2
231,APLASIA CUTIS CONGENITA WITH EPIBULBAR DERMOIDS
232,AROMATASE EXCESS SYNDROME
233,ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 1
234,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1 (disorder)"
235,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 13"
236,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 2"
237,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5 (disorder)"
238,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1"
239,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2"
240,ARTERIAL TORTUOSITY SYNDROME
241,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA"
242,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUROGENIC TYPE (disorder)"
243,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUROGENIC, WITH MYELIN DEFECT"
244,"ARTHROGRYPOSIS, CLEFT PALATE, CRANIOSYNOSTOSIS, AND IMPAIRED INTELLECTUAL DEVELOPMENT"
245,"ARTHROGRYPOSIS, DISTAL, TYPE 1"
246,"ARTHROGRYPOSIS, DISTAL, TYPE 1B"
247,"ARTHROGRYPOSIS, DISTAL, TYPE 2B"
248,"ARTHROGRYPOSIS, DISTAL, WITH IMPAIRED PROPRIOCEPTION AND TOUCH"
249,"ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES"
250,"ARTHROGRYPOSIS, PERTHES DISEASE, AND UPWARD GAZE PALSY"
251,"ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 2"
252,ASPARAGINE SYNTHETASE DEFICIENCY
253,"ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 1 (disorder)"
254,"ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 2 (finding)"
255,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 1"
256,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 2"
257,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5"
258,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7"
259,"ATAXIA AND POLYNEUROPATHY, ADULT-ONSET"
260,"ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS"
261,"ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA"
262,"ATAXIA, FATAL X-LINKED, WITH DEAFNESS AND LOSS OF VISION"
263,"ATAXIA, SENSORY, AUTOSOMAL DOMINANT"
264,"ATAXIA, SPASTIC, 1, AUTOSOMAL DOMINANT"
265,"ATAXIA, SPASTIC, 2, AUTOSOMAL RECESSIVE (disorder)"
266,ATAXIA-OCULOMOTOR APRAXIA 3
267,ATAXIA-OCULOMOTOR APRAXIA 4
268,ATAXIA-TELANGIECTASIA-LIKE DISORDER
269,ATAXIA-TELANGIECTASIA-LIKE DISORDER 2
270,"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)"
271,"ATRIAL FIBRILLATION, FAMILIAL, 10"
272,"ATRIAL FIBRILLATION, FAMILIAL, 11"
273,"ATRIAL FIBRILLATION, FAMILIAL, 12"
274,"ATRIAL FIBRILLATION, FAMILIAL, 13"
275,"ATRIAL FIBRILLATION, FAMILIAL, 14"
276,"ATRIAL FIBRILLATION, FAMILIAL, 15"
277,"ATRIAL FIBRILLATION, FAMILIAL, 18"
278,"ATRIAL FIBRILLATION, FAMILIAL, 9"
279,ATRIAL SEPTAL DEFECT 1
280,ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS
281,ATRIAL SEPTAL DEFECT 8
282,ATRIAL SEPTAL DEFECT 9
283,ATRIAL STANDSTILL 1
284,ATRIAL STANDSTILL 2
285,ATRICHIA WITH PAPULAR LESIONS
286,ATRIOVENTRICULAR CANAL DEFECT
287,ATRIOVENTRICULAR SEPTAL DEFECT 3
288,ATRIOVENTRICULAR SEPTAL DEFECT 4
289,ATRIOVENTRICULAR SEPTAL DEFECT 5
290,"ATRIOVENTRICULAR SEPTAL DEFECT, SUSCEPTIBILITY TO, 2"
291,"ATTENTION DEFICIT-HYPERACTIVITY DISORDER, SUSCEPTIBILITY TO, 7"
292,"ATYPICAL MYCOBACTERIOSIS, FAMILIAL, X-LINKED 1 (disorder)"
293,AU-KLINE SYNDROME
294,AUDITORY NEUROPATHY AND OPTIC ATROPHY
295,"AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT, 1"
296,"AURAL ATRESIA, CONGENITAL"
297,AURICULOCONDYLAR SYNDROME 2
298,AURICULOCONDYLAR SYNDROME 3
299,"AUTISM, SUSCEPTIBILITY TO, 14A"
300,"AUTISM, SUSCEPTIBILITY TO, 15"
301,"AUTISM, SUSCEPTIBILITY TO, 16"
302,"AUTISM, SUSCEPTIBILITY TO, 17"
303,"AUTISM, SUSCEPTIBILITY TO, 18"
304,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 4"
305,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 5"
306,"AUTISM, SUSCEPTIBILITY TO, X-LINKED 6"
307,"AUTISM, X-LINKED, SUSCEPTIBILITY TO, 1 (finding)"
308,"AUTISM, X-LINKED, SUSCEPTIBILITY TO, 2 (finding)"
309,"AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 1"
310,"AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 2"
311,"AUTOIMMUNE DISEASE, MULTISYSTEM, WITH FACIAL DYSMORPHISM"
312,"AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 1"
313,"AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 6"
314,"AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE"
315,"AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE III"
316,"AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME, TYPE I, WITH REVERSIBLE METAPHYSEAL DYSPLASIA"
317,AUTOINFLAMMATION WITH ARTHRITIS AND DYSKERATOSIS
318,AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS
319,"AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION, PLCG2-ASSOCIATED"
320,"AUTOINFLAMMATORY SYNDROME, FAMILIAL, BEHCET-LIKE"
321,"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 1"
322,"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 2"
323,"AXENFELD-RIEGER SYNDROME, TYPE 3"
324,Aarskog syndrome
325,Aase Smith syndrome 2
326,Aase syndrome
327,Abdominal Cryptorchidism
328,Abdominal Migraine
329,Abdominal Pain
330,Abdominal obesity metabolic syndrome
331,Aberrant Crypt Foci
332,Abetalipoproteinemia
333,Abnormal Deep Tendon Reflex
334,Abnormal behavior
335,Abnormal coordination
336,Abnormal corpus callosum morphology
337,Abnormal cortical gyration
338,Abnormal immunoglobulin level
339,Abnormal muscle tone
340,Abnormal renal morphology
341,"Abnormalities, Drug-Induced"
342,Abnormality iris morphology
343,Abnormality of abdomen morphology
344,Abnormality of brain morphology
345,Abnormality of cardiovascular system morphology
346,Abnormality of copper homeostasis
347,Abnormality of digit
348,Abnormality of head or neck
349,Abnormality of limbs
350,Abnormality of metabolism/homeostasis
351,Abnormality of nervous system morphology
352,Abnormality of radial ray
353,Abnormality of skull size
354,Abnormality of the abdominal wall
355,Abnormality of the cerebellum
356,Abnormality of the cerebrum
357,Abnormality of the eye
358,Abnormality of the face
359,Abnormality of the genital system
360,Abnormality of the head
361,Abnormality of the intestine
362,Abnormality of the liver
363,Abnormality of the pinna
364,Abnormality of the respiratory system
365,Abnormality of the skeletal system
366,Abnormality of the urinary system
367,Abnormality of vision
368,"Abortion, Habitual"
369,"Abortion, Tubal"
370,Abruptio Placentae
371,Abruzzo Erickson syndrome
372,Absence Epilepsy
373,Absence Seizure Disorder
374,Absence Seizures
375,Absence of pain sensation
376,Absence of tibia with polydactyly
377,Absent corpus callosum cataract immunodeficiency
378,Absent kidney
379,Absent reflex
380,"Absent thumb, bilateral"
381,Acampomelic Campomelic Dysplasia
382,Acanthocytosis With Hypobetalipoproteinemia
383,Acantholytic Dyskeratotic Epidermal Nevus
384,Acatalasemia Japanese type
385,Acatalasemia Swiss type
386,Acatalasia
387,Acetyl-CoA: carboxylase deficiency
388,Ache
389,Acheiropodia
390,Achondrogenesis type 1A
391,Achondrogenesis type 2
392,"Achondrogenesis, type IB (disorder)"
393,Achondroplasia
394,"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"
395,Achromatopsia
396,Achromatopsia 2
397,Achromatopsia 3
398,"Achromatopsia incomplete, X-linked"
399,Acid Phosphatase Deficiency
400,"Acid cholesteryl ester hydrolase deficiency, type 2"
401,Acid-Labile Subunit Deficiency
402,Acidosis
403,"Acidosis, Lactic"
404,Acne
405,Acne Vulgaris
406,Acoustic Neuroma
407,Acquired Hypogammaglobulinemia
408,Acquired Immunodeficiency Syndrome
409,Acquired Language Disorders
410,Acquired Meningomyelocele
411,"Acquired Metabolic Diseases, Nervous System"
412,Acquired Nephrogenic Diabetes Insipidus
413,Acquired Neuromyotonia
414,Acquired Polyneuropathy
415,Acquired angioedema
416,Acquired clubfoot
417,Acquired partial lipodystrophy
418,Acral Lentiginous Malignant Melanoma
419,Acral dystrophic epidermolysis bullosa
420,Acral self-healing collodion baby
421,Acrania
422,Acro-Osteolysis
423,Acrocallosal Syndrome
424,"Acrocallosal syndrome, Schinzel type"
425,Acrocapitofemoral Dysplasia
426,Acrocephalopolydactylous Dysplasia
427,Acrocephalopolysyndactyly type 2
428,Acrocephalosyndactylia
429,Acrocephaly
430,Acrodermatitis
431,Acrodermatitis continua of Hallopeau
432,Acrodermatitis enteropathica
433,Acrodysostosis
434,Acrofacial Dysostosis
435,Acrofacial dysostosis Rodriguez type
436,Acrogeria
437,"Acrogeria, gottron type"
438,Acrokeratosis Verruciformis of Hopf
439,Acromegaloid facial appearance syndrome
440,Acromegaly
441,Acromelic frontonasal dysplasia
442,Acromesomelic dysplasia Hunter-Thompson type
443,Acromicric Dysplasia
444,Acroosteolysis dominant type
445,"Acropectorovertebral Dysplasia, F-Form"
446,Acth-Independent Macronodular Adrenal Hyperplasia
447,Actin-Accumulation Myopathy
448,Actinic porokeratosis
449,Action Myoclonus-Renal Failure Syndrome
450,Action Tremor
451,Activated Protein C Resistance
452,Active Hyperemia
453,Acute Bacterial Prostatitis
454,Acute Basophilic Leukemia
455,Acute Brucellosis
456,Acute Cerebral Infarction
457,Acute Cerebral Ischemia
458,Acute Cerebrovascular Accidents
459,Acute Confusional Migraine
460,Acute Confusional Senile Dementia
461,Acute Coronary Syndrome
462,Acute Erythroblastic Leukemia
463,Acute Erythroid Leukemia
464,Acute Heart Failure
465,Acute Infective Polyneuritis
466,Acute Inflammatory Demyelinating Polyneuropathy
467,Acute Ischemic Stroke
468,Acute Kidney Failure
469,Acute Kidney Insufficiency
470,Acute Kidney Tubular Necrosis
471,Acute Liver Failure
472,Acute Lung Injury
473,Acute Megakaryoblastic Leukemia
474,Acute Megakaryocytic Leukemias
475,Acute Mesenteric Arterial Embolus
476,Acute Mesenteric Arterial Thrombosis
477,Acute Myeloid Leukemia (AML-M2)
478,"Acute Myeloid Leukemia, M1"
479,Acute Myocardial Infarction
480,Acute Pancreatitis
481,Acute Peritonitis
482,Acute Promyelocytic Leukemia
483,Acute Q fever
484,Acute Respiratory Distress Syndrome
485,Acute Undifferentiated Leukemia
486,Acute alcoholic intoxication
487,Acute encephalopathy with biphasic seizures and late reduced diffusion
488,Acute erythroleukemia
489,Acute erythroleukemia - M6a subtype
490,Acute erythroleukemia - M6b subtype
491,Acute fatty liver of pregnancy
492,Acute intermittent porphyria
493,Acute kidney injury
494,Acute lymphocytic leukemia
495,Acute monocytic leukemia
496,Acute myeloid leukemia FAB-M6
497,Acute myeloid leukemia with CEBPA somatic mutations
498,Acute myeloid leukemia with multilineage dysplasia
499,Acute myeloid leukemia with t(8;16)(p11;p13) translocation
500,"Acute myeloid leukemia, 11q23 abnormalities"
501,"Acute myeloid leukemia, minimal differentiation"
502,Acute myelomonocytic leukemia
503,Acute necrotizing encephalopathy of childhood
504,Acute recurrent pancreatitis
505,Acute schizophrenia
506,Acute-Phase Reaction
507,"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of"
508,Adamantinous Craniopharyngioma
509,Adams Oliver syndrome
510,Adams-Oliver syndrome 1
511,Addicted to cocaine
512,Addison Disease
513,Adenine phosphoribosyltransferase deficiency
514,Adenocarcinoma
515,Adenocarcinoma Of Esophagus
516,Adenocarcinoma of ampulla of Vater
517,Adenocarcinoma of colon
518,Adenocarcinoma of large intestine
519,Adenocarcinoma of lung (disorder)
520,Adenocarcinoma of prostate
521,Adenocarcinoma of rectum
522,"Adenocarcinoma, Ampullary"
523,"Adenocarcinoma, Basal Cell"
524,"Adenocarcinoma, Cervical"
525,"Adenocarcinoma, Clear Cell"
526,"Adenocarcinoma, Colon"
527,"Adenocarcinoma, Endometrial"
528,"Adenocarcinoma, Endometrioid"
529,"Adenocarcinoma, Esophageal"
530,"Adenocarcinoma, Gastric"
531,"Adenocarcinoma, Gastric-Esophageal Junction"
532,"Adenocarcinoma, Lung"
533,"Adenocarcinoma, Oxyphilic"
534,"Adenocarcinoma, Pancreatic Ductal"
535,"Adenocarcinoma, Prostate"
536,"Adenocarcinoma, Sebaceous"
537,"Adenocarcinoma, Tubular"
538,Adenohypophyseal Diseases
539,Adenoid Cystic Carcinoma
540,Adenoma
541,"Adenoma, Basal Cell"
