,gene,disease
300,ACACB,Obesity
301,ACACB,Insulin Sensitivity
302,ACACB,Pancreatic Ductal Adenocarcinoma
303,ACADL,Long chain acyl-CoA dehydrogenase deficiency
304,ACADM,Malignant neoplasm of breast
305,ACADM,Obesity
306,ACADM,Rhabdomyolysis
307,ACADM,Sudden infant death syndrome
308,ACADM,Weight Gain
309,ACADM,Liver Failure
310,ACADM,Medium-chain acyl-coenzyme A dehydrogenase deficiency
311,ACADM,Necrotizing Enterocolitis
312,ACADS,Bipolar Disorder
313,ACADS,Heart failure
314,ACADS,Congestive heart failure
315,ACADS,Left-Sided Heart Failure
316,ACADS,"Heart Failure, Right-Sided"
317,ACADS,Deficiency of butyryl-CoA dehydrogenase
318,ACADS,Myocardial Failure
319,ACADS,Heart Decompensation
320,ACADSB,Autistic Disorder
321,ACADSB,2-Methylbutyryl-CoA Dehydrogenase Deficiency
322,ACADVL,Anoxemia
323,ACADVL,Anoxia
324,ACADVL,Hypoxia
325,ACADVL,Metabolic myopathy
326,ACADVL,Erythrocyte Mean Corpuscular Hemoglobin Test
327,ACADVL,Hypoxemia
328,ACADVL,Finding of Mean Corpuscular Hemoglobin
329,ACADVL,Very long chain acyl-CoA dehydrogenase deficiency
330,ACAT1,Jacksonian Seizure
331,ACAT1,"Kidney Failure, Chronic"
332,ACAT1,"Liver Cirrhosis, Experimental"
333,ACAT1,Seizures
334,ACAT1,Complex partial seizures
335,ACAT1,Generalized seizures
336,ACAT1,Clonic Seizures
337,ACAT1,Visual seizure
338,ACAT1,Tonic Seizures
339,ACAT1,Epileptic drop attack
340,ACAT1,"Seizures, Somatosensory"
341,ACAT1,"Seizures, Auditory"
342,ACAT1,Olfactory seizure
343,ACAT1,Gustatory seizure
344,ACAT1,Vertiginous seizure
345,ACAT1,Tonic - clonic seizures
346,ACAT1,Non-epileptic convulsion
347,ACAT1,Single Seizure
348,ACAT1,Atonic Absence Seizures
349,ACAT1,Convulsive Seizures
350,ACAT1,"Seizures, Focal"
351,ACAT1,"Seizures, Sensory"
352,ACAT1,Deficiency of acetyl-CoA acetyltransferase
353,ACAT1,Nonepileptic Seizures
354,ACAT1,Convulsions
355,ACAT1,Absence Seizures
356,ACAT1,Epileptic Seizures
357,ACAT1,Myoclonic Seizures
358,ACAT1,Generalized Absence Seizures
359,ACAT2,Cytosolic acetoacetyl-CoA thiolase deficiency
360,ASIC2,Autistic Disorder
361,ASIC2,Inflammation
362,ASIC1,Brain Ischemia
363,ASIC1,Inflammation
364,ASIC1,Cerebral Ischemia
365,ACHE,Alzheimer's Disease
366,ACHE,Amyloidosis
367,ACHE,Anemia
368,ACHE,Malignant neoplasm of urinary bladder
369,ACHE,Bladder Neoplasm
370,ACHE,Malignant neoplasm of breast
371,ACHE,Renal Cell Carcinoma
372,ACHE,Presenile dementia
373,ACHE,Drug toxicity
374,ACHE,Growth Disorders
375,ACHE,Jacksonian Seizure
376,ACHE,Learning Disorders
377,ACHE,"Liver Cirrhosis, Experimental"
378,ACHE,Memory Disorders
379,ACHE,Movement Disorders
380,ACHE,Muscular Dystrophy
381,ACHE,nervous system disorder
382,ACHE,Obesity
383,ACHE,Prostatic Neoplasms
384,ACHE,Schizophrenia
385,ACHE,Seizures
386,ACHE,Tremor
387,ACHE,Saturnine Tremor
388,ACHE,Adverse reaction to drug
389,ACHE,Senile Tremor
390,ACHE,Complex partial seizures
391,ACHE,Memory impairment
392,ACHE,Persistent Tremor
393,ACHE,Continuous Tremor
394,ACHE,Intermittent Tremor
395,ACHE,Fine Tremor
396,ACHE,Coarse Tremor
397,ACHE,Massive Tremor
398,ACHE,Action Tremor
399,ACHE,Passive Tremor
400,ACHE,Static Tremor
401,ACHE,Resting Tremor
402,ACHE,Darkness Tremor
403,ACHE,Generalized seizures
404,ACHE,Clonic Seizures
405,ACHE,"Tremor, Perioral"
406,ACHE,"Tremor, Limb"
407,ACHE,"Tremor, Muscle"
408,ACHE,Nerve Tremors
409,ACHE,"Tremor, Neonatal"
410,ACHE,Amphetamine-Related Disorders
411,ACHE,Amphetamine Addiction
412,ACHE,Amphetamine Abuse
413,ACHE,Etat Marbre
414,ACHE,Visual seizure
415,ACHE,Tonic Seizures
416,ACHE,Epileptic drop attack
417,ACHE,Familial Alzheimer Disease (FAD)
418,ACHE,Conventional (Clear Cell) Renal Cell Carcinoma
419,ACHE,Organophosphorus Poisoning
420,ACHE,Malignant neoplasm of prostate
421,ACHE,"Seizures, Somatosensory"
422,ACHE,"Seizures, Auditory"
423,ACHE,Olfactory seizure
424,ACHE,Gustatory seizure
425,ACHE,Vertiginous seizure
426,ACHE,"Alzheimer Disease, Late Onset"
427,ACHE,Tonic - clonic seizures
428,ACHE,Acute Confusional Senile Dementia
429,ACHE,Breast Carcinoma
430,ACHE,Organophosphate poisoning
431,ACHE,"Alzheimer's Disease, Focal Onset"
432,ACHE,"Alzheimer Disease, Early Onset"
433,ACHE,Non-epileptic convulsion
434,ACHE,Single Seizure
435,ACHE,Atonic Absence Seizures
436,ACHE,Adult Learning Disorders
437,ACHE,Learning Disturbance
438,ACHE,Learning Disabilities
439,ACHE,Age-Related Memory Disorders
440,ACHE,"Memory Disorder, Semantic"
441,ACHE,"Memory Disorder, Spatial"
442,ACHE,Memory Loss
443,ACHE,Convulsive Seizures
444,ACHE,"Seizures, Focal"
445,ACHE,"Seizures, Sensory"
446,ACHE,Pill Rolling Tremor
447,ACHE,"Tremor, Semirhythmic"
448,ACHE,"Mammary Neoplasms, Human"
449,ACHE,Chromophobe Renal Cell Carcinoma
450,ACHE,Sarcomatoid Renal Cell Carcinoma
451,ACHE,Collecting Duct Carcinoma of the Kidney
452,ACHE,Papillary Renal Cell Carcinoma
453,ACHE,Developmental Academic Disorder
454,ACHE,Mammary Neoplasms
455,ACHE,Involuntary Quiver
456,ACHE,Organothiophosphonate Poisoning
457,ACHE,Organothiophosphate Poisoning
458,ACHE,Nonepileptic Seizures
459,ACHE,Convulsions
460,ACHE,Absence Seizures
461,ACHE,Epileptic Seizures
462,ACHE,Myoclonic Seizures
463,ACHE,Generalized Absence Seizures
464,ACHE,"Mammary Carcinoma, Human"
465,ACLY,Heart failure
466,ACLY,Congestive heart failure
467,ACLY,Left-Sided Heart Failure
468,ACLY,Obesity
469,ACLY,"Heart Failure, Right-Sided"
470,ACLY,Myocardial Failure
471,ACLY,Heart Decompensation
472,ACLY,Liver carcinoma
473,ACO1,Neoplasm Invasiveness
474,ACO1,Degenerative polyarthritis
475,ACO1,Osteoarthrosis Deformans
476,ACO2,Malignant neoplasm of breast
477,ACO2,"Respiratory Distress Syndrome, Adult"
478,ACO2,Liver carcinoma
479,ACO2,INFANTILE CEREBELLAR-RETINAL DEGENERATION
480,ACO2,OPTIC ATROPHY 9
481,ACOX1,Alloxan Diabetes
482,ACOX1,"Diabetes Mellitus, Experimental"
483,ACOX1,Streptozotocin Diabetes
484,ACOX1,Peroxisomal ACYL-COA oxidase deficiency
485,ACOX1,Liver carcinoma
486,ACP1,Schizophrenia
487,ACP1,Unipolar Depression
488,ACP1,Major Depressive Disorder
489,ACP2,Acid Phosphatase Deficiency
490,ACP5,"Hyperparathyroidism, Secondary"
491,ACP5,"Liver Cirrhosis, Experimental"
492,ACP5,Obesity
493,ACP5,Spondyloenchondrodysplasia
494,ACP5,Disproportionate short stature
495,ACP5,SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
496,ACP5,Autoinflammatory disorder
497,ACP3,Juvenile-Onset Still Disease
498,ACP3,Juvenile arthritis
499,ACP3,Juvenile psoriatic arthritis
500,ACP3,"Polyarthritis, Juvenile, Rheumatoid Factor Negative"
501,ACP3,"Polyarthritis, Juvenile, Rheumatoid Factor Positive"
502,ACTA1,"Cardiomyopathy, Dilated"
503,ACTA1,Hypertrophic Cardiomyopathy
504,ACTA1,Left Ventricular Hypertrophy
505,ACTA1,Centronuclear myopathy
506,ACTA1,"Myopathies, Nemaline"
507,ACTA1,Zebra body myopathy
508,ACTA1,Eichsfeld type congenital muscular dystrophy
509,ACTA1,X-linked centronuclear myopathy
510,ACTA1,Tubular Aggregate Myopathy
511,ACTA1,"Nemaline Myopathy, Childhood Onset"
512,ACTA1,Congenital Fiber Type Disproportion
513,ACTA1,Congenital Structural Myopathy
514,ACTA1,"Myopathy, Actin, Congenital, with Excess of Thin Myofilaments"
515,ACTA1,"Myopathy, Centronuclear, Autosomal Dominant"
516,ACTA1,"Myopathy, Actin, Congenital, With Cores"
517,ACTA1,Autosomal Recessive Centronuclear Myopathy
518,ACTA1,Autosomal Dominant Myotubular Myopathy
519,ACTA1,Actin-Accumulation Myopathy
520,ACTA1,"MYOPATHY, SCAPULOHUMEROPERONEAL"
521,ACTA1,"Myopathy, Centronuclear, 1"
522,ACTA2,"Cholestasis, Extrahepatic"
523,ACTA2,Malignant neoplasm of breast
524,ACTA2,Malignant tumor of colon
525,ACTA2,Colonic Neoplasms
526,ACTA2,Endometriosis
527,ACTA2,Fetal Growth Retardation
528,ACTA2,Focal glomerulosclerosis
529,ACTA2,"Hepatitis, Chronic"
530,ACTA2,Ischemia
531,ACTA2,Kidney Diseases
532,ACTA2,Liver Cirrhosis
533,ACTA2,"Liver Cirrhosis, Experimental"
534,ACTA2,Liver diseases
535,ACTA2,Moyamoya Disease
536,ACTA2,Myocardial Infarction
537,ACTA2,Nephrosclerosis
538,ACTA2,Pulmonary Fibrosis
539,ACTA2,Systemic Scleroderma
540,ACTA2,Ureteral obstruction
541,ACTA2,"Hyalinosis, Segmental Glomerular"
542,ACTA2,Liver Dysfunction
543,ACTA2,Chronic Persistent Hepatitis
544,ACTA2,"Aortic Aneurysm, Thoracic"
545,ACTA2,"Fibrosis, Liver"
546,ACTA2,Endometrioma
547,ACTA2,"Aortic Aneurysm, Thoracoabdominal"
548,ACTA2,Chronic active hepatitis
549,ACTA2,Cryptogenic Chronic Hepatitis
550,ACTA2,Breast Carcinoma
551,ACTA2,"Mammary Neoplasms, Human"
552,ACTA2,Mammary Neoplasms
553,ACTA2,Nephrogenic Fibrosing Dermopathy
554,ACTA2,Copper-Overload Cirrhosis
555,ACTA2,"Aortic Aneurysm, Familial Thoracic 6"
556,ACTA2,Moyamoya disease 1
557,ACTA2,MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME
558,ACTA2,MOYAMOYA DISEASE 5
559,ACTA2,"Mammary Carcinoma, Human"
560,ACTA2,Familial thoracic aortic aneurysm and aortic dissection
561,ACTA2,"Alveolitis, Fibrosing"
562,ACTB,Anoxemia
563,ACTB,Anoxia
564,ACTB,Bipolar Disorder
565,ACTB,Blood Platelet Disorders
566,ACTB,Carcinoma
567,ACTB,Congenital ocular coloboma (disorder)
568,ACTB,Dysostoses
569,ACTB,Dystonia
570,ACTB,Esophageal Neoplasms
571,ACTB,Sensorineural Hearing Loss (disorder)
572,ACTB,"Hepatitis, Toxic"
573,ACTB,Lung Neoplasms
574,ACTB,Animal Mammary Neoplasms
575,ACTB,"Mammary Neoplasms, Experimental"
576,ACTB,Neoplasm Invasiveness
577,ACTB,Degenerative polyarthritis
578,ACTB,Schizophrenia
579,ACTB,Osteoarthrosis Deformans
580,ACTB,Myocardial Ischemia
581,ACTB,Anaplastic carcinoma
582,ACTB,"Carcinoma, Spindle-Cell"
583,ACTB,Undifferentiated carcinoma
584,ACTB,Carcinomatosis
585,ACTB,Hypoxia
586,ACTB,Malignant neoplasm of lung
587,ACTB,Pigmented hairy epidermal nevus
588,ACTB,Cranioschisis
589,ACTB,Qualitative abnormality of granulocyte
590,ACTB,Craniofacial Abnormalities
591,ACTB,"Dystonia, Paroxysmal"
592,ACTB,"Dystonia, Diurnal"
593,ACTB,Congenital neurologic anomalies
594,ACTB,Malignant neoplasm of esophagus
595,ACTB,Hypoxemia
596,ACTB,"Dystonia, Limb"
597,ACTB,Drug-Induced Liver Disease
598,ACTB,"Mammary Carcinoma, Animal"
599,ACTB,"Hepatitis, Drug-Induced"
600,ACTB,Sensory hearing loss
601,ACTB,Juvenile-onset dystonia
602,ACTB,Fryns-Aftimos Syndrome
603,ACTB,"Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation"
604,ACTB,Becker Nevus Syndrome
605,ACTB,Liver carcinoma
606,ACTB,Drug-Induced Acute Liver Injury
607,ACTB,Chemical and Drug Induced Liver Injury
608,ACTB,Chemically-Induced Liver Toxicity
609,ACTB,Uveoretinal Coloboma
610,ACTC1,"Cardiomyopathy, Dilated"
611,ACTC1,Hypertrophic Cardiomyopathy
612,ACTC1,Malignant neoplasm of stomach
613,ACTC1,Precancerous Conditions
614,ACTC1,Refractive Errors
615,ACTC1,Stomach Neoplasms
616,ACTC1,"Condition, Preneoplastic"
617,ACTC1,Familial dilated cardiomyopathy
618,ACTC1,Ostium secundum atrial septal defect
619,ACTC1,Cardiomyopathies
620,ACTC1,"Cardiomyopathy, Familial Idiopathic"
621,ACTC1,Ametropia
622,ACTC1,Hereditary Diffuse Gastric Cancer
623,ACTC1,Left ventricular noncompaction
624,ACTC1,"Cardiomyopathy, Familial Hypertrophic, 11"
625,ACTC1,Atrial Septal Defect 5
626,ACTC1,"CARDIOMYOPATHY, DILATED, 1R"
627,ACTC1,LEFT VENTRICULAR NONCOMPACTION 4
628,ACTC1,Left ventricular noncompaction cardiomyopathy
629,ACTG1,"Osteoporosis, Age-Related"
630,ACTG1,Blepharoptosis
631,ACTG1,Carcinoma
632,ACTG1,Neoplastic Cell Transformation
633,ACTG1,Congenital ocular coloboma (disorder)
634,ACTG1,Epilepsy
635,ACTG1,Macrostomia
636,ACTG1,Animal Mammary Neoplasms
637,ACTG1,"Mammary Neoplasms, Experimental"
638,ACTG1,Osteoporosis
639,ACTG1,"Osteoporosis, Senile"
640,ACTG1,Ptosis
641,ACTG1,Anaplastic carcinoma
642,ACTG1,"Carcinoma, Spindle-Cell"
643,ACTG1,Undifferentiated carcinoma
644,ACTG1,Carcinomatosis
645,ACTG1,Short upturned nose
646,ACTG1,Cranioschisis
647,ACTG1,Congenital coloboma of iris
648,ACTG1,Craniofacial Abnormalities
649,ACTG1,Congenital neurologic anomalies
650,ACTG1,Post-Traumatic Osteoporosis
651,ACTG1,Abnormality of the pinna
652,ACTG1,Acute Coronary Syndrome
653,ACTG1,"Mammary Carcinoma, Animal"
654,ACTG1,hearing impairment
655,ACTG1,Progressive sensorineural hearing impairment
656,ACTG1,Pointed chin
657,ACTG1,Long palpebral fissure
658,ACTG1,Fryns-Aftimos Syndrome
659,ACTG1,"Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation"
660,ACTG1,"Deafness, Autosomal Dominant 20"
661,ACTG1,Long philtrum
662,ACTG1,Thin upper lip vermilion
663,ACTG1,Highly arched eyebrow
664,ACTG1,Hearing loss begins with loss of high frequencies
665,ACTG1,Audiogram shows sloping configuration
666,ACTG1,"Deafness, profound, by 6th decade"
667,ACTG1,Microphthalmia (in some patients)
668,ACTG1,BARAITSER-WINTER SYNDROME 2
669,ACTG1,Deafness (in some patients)
670,ACTG1,Nonsyndromic Deafness
671,ACTG1,Short neck (in some patients)
672,ACTG1,Enlarged ventricles (in some patients)
673,ACTG1,Heart defect (in some patients)
674,ACTG1,Pterygium colli (in some patients)
675,ACTG1,Hypertelorism/telecanthus
676,ACTG1,Eye coloboma (in some patients)
677,ACTG1,Trigonocephaly/metopic ridge
678,ACTG1,Pectus (in some patients)
679,ACTG1,Kyphosis/scoliosis (in some patients)
680,ACTG1,Prominent nasal root on profile
681,ACTG1,"Large, squared nose tip"
